username,password,email,phone,status
zekken,zekken123,zekken@gmail.com,0920193293,aktif
gajah,gajah000,gajah@gmail.com,02832928,aktif
gadu,gadu09876,gadu@gmail.com,8232938,blokir
bagus,bagus000,bagus@gmail.com,2390139,aktif
sandi,sandi123,sandi@gmail.com,2392039,aktif
unej,unej12345,unej@gmail.com,3403490394,aktif
jamal,jamal000,jamal@gmail.com,29302930,aktif
asep,asep9876,asep@gmail.com,293293,aktif
budi,budi1234,budi@gmail.com,03029,aktif
lele,lele1234,lele@gmail.com,012390390,aktif
darrel,darrel123,darrel@gmail.com,812345678,aktif
adam,adam1234,adam@gmail.com,089876543,aktif
dapa,dapa12345,dapa@gmail.com,0298393298,aktif
agathon,agathon000,agathon@gmail.com,0863647347,blokir
zaki,zaki09876,zaki@gmail.com,837374788,aktif
yanto,yanto123,yanto@gmail.com,082372837,blokir
